"","port_origin","voyage_id","ship_name","place_of_purchase","port_arrival","year_arrival","n_slaves_arrived","captains_name","country","lat","lng"
"1","Africa.","2555","D Francisco","Whydah","Barbados","1837","433","Lisboa, Antônio Pereira",NA,NA,NA
"2","Africa.","2556","Florida","Lagos, Onim","Grenada","1837","280",NA,NA,NA,NA
"3","Africa.","2557","Florida","Lagos, Onim","Cuba","1836",NA,NA,NA,NA,NA
"4","Africa.","2721","Cipher",NA,NA,"1841",NA,NA,NA,NA,NA
"5","Africa.","3049","Legítimo Africano","Whydah","Freetown","1835","186","Lima, José Manoel de",NA,NA,NA
"6","Africa.","4557",NA,"Congo River","Rio de Janeiro province","1851","168",NA,NA,NA,NA
"7","Africa.","4715","Princesa",NA,NA,"1845",NA,"Vieira, Joaquim Antônio",NA,NA,NA
"8","Africa.","4985",NA,"Cabinda","St. Helena","1862",NA,NA,NA,NA,NA
"9","Africa.","26447","Graaf Enno","Calabar",NA,"1659",NA,"Jobs, James",NA,NA,NA
"10","Africa.","4781","Fortuna",NA,NA,"1850",NA,NA,NA,NA,NA
"11","Africa.","4901","Rivale","Quicombo",NA,"1850",NA,NA,NA,NA,NA
"12","Africa.","3299","Veloz",NA,NA,"1839",NA,"Silva, Antônio Rodrigues da",NA,NA,NA
"13","Africa.","3548","Gago",NA,NA,"1845",NA,NA,NA,NA,NA
"14","Africa.","3877",NA,"Nova Redonda","Pernambuco","1845","92",NA,NA,NA,NA
"15","Africa.","3884","Enganador","Sherbro","Freetown","1844","347","Castro, Severiano de",NA,NA,NA
"16","Africa.","4057","Vinte e Cinco de Setembro","Benguela","St. Helena","1850","174","Souza, José de",NA,NA,NA
"17","Amelia Island","7620","Dolores",NA,NA,"1815",NA,NA,NA,NA,NA
"18","Americas","41900","Complex","Africa.",NA,"1831",NA,NA,NA,NA,NA
"19","Amsterdam","10497","Cornelia","Windward + Ivory + Gold + Benin","Americas","1764","280","Belendorp, Jacob","Netherlands",52.35,4.9166
"20","Amsterdam","10483","Clasina Petronella","Congo North","Suriname","1765","330","Commin, Gerrit<br/> Castelijn, Johan","Netherlands",52.35,4.9166
"21","Amsterdam","11209","Zeevrugt","Elmina","Americas","1793",NA,"Post, Christiaan","Netherlands",52.35,4.9166
"22","Amsterdam","10184","Helena","Elmina","Suriname","1735","180","Baarspul, Theunis","Netherlands",52.35,4.9166
"23","Amsterdam","10534","Duinvliet","Africa.","Suriname","1744","340","Lindenberg, Jurriaan","Netherlands",52.35,4.9166
"24","Amsterdam","10186","Hollandia","Ardra","Curacao","1687",NA,"Schepmoes, Abraham","Netherlands",52.35,4.9166
"25","Amsterdam","11206","Zeelust","Elmina","Suriname","1792","120","Mackaij, Anthony","Netherlands",52.35,4.9166
"26","Amsterdam","21569","Daniel (a) Rode Fortuin","Gold Coast","Elmina","1661",NA,"Oakes, Henry","Netherlands",52.35,4.9166
"27","Amsterdam","10748","Jonge Jan","Elmina","Suriname","1784","147","Riems, Jan","Netherlands",52.35,4.9166
"28","Amsterdam","35076","Cron Printz Christian (a) Cron Printzen","Christiansborg","Danish West Indies, colony unspecified","1714","153","Thomas, Jacob (Jacques)","Netherlands",52.35,4.9166
"29","Amsterdam","11370","Vliegende Raven","West Central Africa and St. Helena","Americas, region unspecified","1597",NA,"Hermissen, Merten","Netherlands",52.35,4.9166
"30","Amsterdam","10915","Nieuwe Hoop","Elmina","Suriname","1790","180","Dijker, Willem","Netherlands",52.35,4.9166
"31","Amsterdam","11898","S Pieter","Sierra Leone","Cartagena","1701",NA,"Leeuwen, Gerrit van","Netherlands",52.35,4.9166
"32","Amsterdam","35369","Neptunus","Accra","Suriname","1796","179","Brun, Hans","Netherlands",52.35,4.9166
"33","Amsterdam","10402","Africaander","Windward + Ivory + Gold + Benin","Suriname","1742","176","Smit, Jan<br/> Schrijver, Jan de","Netherlands",52.35,4.9166
"34","Amsterdam","11041","Trompenburg","Elmina","Suriname","1793","60","Jantzen, Pieter","Netherlands",52.35,4.9166
"35","Amsterdam","11131","Watervliet","Windward + Ivory + Gold + Benin","Suriname","1747","253","Jonker, Cornelis","Netherlands",52.35,4.9166
"36","Amsterdam","10804","Lust and Vlijt","Elmina","Suriname","1793",NA,"Duijker, Gerrit<br/> Luijtzen, Simon","Netherlands",52.35,4.9166
"37","Amsterdam","33893","Sereine","Goree","Basse-Terre","1683",NA,"Gildem, Cornel","Netherlands",52.35,4.9166
"38","Amsterdam","11024","Surinaamse Welvaart","Windward + Ivory + Gold + Benin","Suriname","1765","291","Meijster, Hendrik","Netherlands",52.35,4.9166
"39","Amsterdam","11799","Eendracht","Elmina","Curacao","1674",NA,"Joosten, Leendert","Netherlands",52.35,4.9166
"40","Amsterdam","10884","Neptunus","Africa.","Suriname","1745","410","Outjes, Jochem","Netherlands",52.35,4.9166
"41","Amsterdam","11768","Nieuwe Hoop","Elmina","Suriname","1792","323","Dijker, Willem","Netherlands",52.35,4.9166
"42","Amsterdam","11904","Vier Gebroeders","Calabar","St. Eustatius","1702",NA,"Osdorp, Lucas<br/> Focquerel, Thomas","Netherlands",52.35,4.9166
"43","Amsterdam","10426","Amphitrite","Malembo","Suriname","1765","150","Dedelhof, Pieter<br/> Huijsing, C","Netherlands",52.35,4.9166
"44","Amsterdam","10424","America","Africa.","Suriname","1744","135","Hees, Jan van","Netherlands",52.35,4.9166
"45","Amsterdam","10076","Christina","Congo North","Suriname","1685",NA,"Claver, Jan Claasz","Netherlands",52.35,4.9166
"46","Amsterdam","11022","Surinaamse Welvaart","Gold Coast","Suriname","1761","276","Meijster, Hendrik","Netherlands",52.35,4.9166
"47","Amsterdam","26410","Jupiter","Africa.","Barbados","1648",NA,"Mol, Sijmon Sijmonsz<br/> Jansz, Gijsbert","Netherlands",52.35,4.9166
"48","Amsterdam","11106","Vriendschap","Windward + Ivory + Gold + Benin","Suriname","1776","250","Muller, Daniel","Netherlands",52.35,4.9166
"49","Amsterdam","10484","Clasina Petronella","Malembo","Suriname","1767","180","Rencken, Hendrik","Netherlands",52.35,4.9166
"50","Amsterdam","11023","Surinaamse Welvaart","Windward + Ivory + Gold + Benin","Suriname","1763","268","Meijster, Hendrik","Netherlands",52.35,4.9166
"51","Amsterdam","11082","Vijf Gezusters","Windward + Ivory + Gold + Benin","Suriname","1767","236","Winterheim, Christiaan Frederik","Netherlands",52.35,4.9166
"52","Amsterdam","11733","Hoop","West Central Africa and St. Helena","Curacao","1670",NA,"Meijndertse, Ide","Netherlands",52.35,4.9166
"53","Amsterdam","10433","Anna Galei","Africa.","Curacao","1747","200","Bruijn, Arend","Netherlands",52.35,4.9166
"54","Amsterdam","11983","Winthond",NA,"Americas","1724",NA,NA,"Netherlands",52.35,4.9166
"55","Amsterdam","10749","Jonge Jan","Elmina","Suriname","1792","130","Bakker, Dirk","Netherlands",52.35,4.9166
"56","Amsterdam","11017","Surinaamse Welvaart","Windward + Ivory + Gold + Benin","Suriname","1751","200","Ridder, Jan de<br/> Gerritsen, Job","Netherlands",52.35,4.9166
"57","Amsterdam","10727","Jonge Dirk","Elmina","Suriname","1791","200","Grim, Jochem","Netherlands",52.35,4.9166
"58","Amsterdam","10728","Jonge Dirk","Windward + Ivory + Gold + Benin","Suriname","1793","200","Grim, Jochem","Netherlands",52.35,4.9166
"59","Amsterdam","11011","Surinaamse Galei","Africa.","Suriname","1745","280","Ridder, Jan de","Netherlands",52.35,4.9166
